Deck,Type,Name,Description,Mechanic
Spy,Skill,Cryptography,Code breaking,"{""skill"":""tech""}"
Spy,Skill,Demolitions,Explosives,"{""skill"":""tech""}"
Spy,Skill,Disguise,Alter appearance,"{""skill"":""deception""}"
Spy,Skill,Electronics,Surveillance,"{""skill"":""tech""}"
Spy,Skill,Languages,Multiple tongues,"{""skill"":""language""}"
Spy,Skill,Lock Picking,Defeat security,"{""skill"":""tech""}"
Spy,Skill,Marksmanship,Precision shooting,"{""skill"":""combat""}"
Spy,Skill,Negotiation,Extract info,"{""skill"":""social""}"
Spy,Skill,Parkour,Free-running,"{""skill"":""athletics""}"
Spy,Skill,Piloting,Fly aircraft,"{""skill"":""pilot""}"
Spy,Skill,Seduction,Manipulation,"{""skill"":""social""}"
Spy,Skill,Surveillance,Track targets,"{""skill"":""investigation""}"
Spy,Skill,Tradecraft,Espionage techniques,"{""skill"":""spy""}"
Spy,Trait,Adaptable,Adjust quickly,"{""trait"":true}"
Spy,Trait,Alert,Hypervigilance,"{""trait"":true}"
Spy,Trait,Analytical,Break down situations,"{""trait"":true}"
Spy,Trait,Calculating,Strategic thinking,"{""trait"":true}"
Spy,Trait,Charismatic,Win people over,"{""trait"":true}"
Spy,Trait,Cold,Emotionally detached,"{""trait"":true}"
Spy,Trait,Composed,Maintain cover,"{""trait"":true}"
Spy,Trait,Confident,Project authority,"{""trait"":true}"
Spy,Trait,Coordinated,Graceful,"{""trait"":true}"
Spy,Trait,Deceptive,Lie convincingly,"{""trait"":true}"
Spy,Trait,Lethal,Trained to end threats,"{""trait"":true}"
Spy,Trait,Paranoid,Watch for threats,"{""trait"":true}"
Spy,Trait,Patient,Wait for moment,"{""trait"":true}"
Spy,Trait,Resourceful,Make do,"{""trait"":true}"
Spy,Trait,Ruthless,Eliminate obstacles,"{""trait"":true}"
Spy,Trait,Suspicious,Trust no one,"{""trait"":true}"
Superhero,Ability,Energy Blasts,Project destructive force,"{""damage"":3,""range"":""long""}"
Superhero,Ability,Flight,Soar through sky,"{""movement"":""flight""}"
Superhero,Ability,Force Fields,Generate barriers,"{""shield"":3}"
Superhero,Ability,Healing Factor,Regenerate from injury,"{""heal"":3}"
Superhero,Ability,Ice Manipulation,Control frozen water,"{""control"":""ice""}"
Superhero,Ability,Invisibility,Become unseen,"{""stealth"":3}"
Superhero,Ability,Lightning Control,Summon electricity,"{""damage"":3,""type"":""electric""}"
Superhero,Ability,Phasing,Pass through solid matter,"{""defense"":""phase""}"
Superhero,Ability,Precognition,Glimpses of future,"{""perception"":""future""}"
Superhero,Ability,Regeneration,Heal from any injury,"{""revive"":true}"
Superhero,Ability,Shape-Shifting,Alter physical form,"{""transform"":true}"
Superhero,Ability,Super Speed,Move faster than eye,"{""initiative"":3}"
Superhero,Ability,Super Strength,Lift incredible weights,"{""strength"":5}"
Superhero,Ability,Telekinesis,Move objects with mind,"{""utility"":""force""}"
Superhero,Ability,Telepathy,Read minds,"{""social"":""telepathy""}"
Superhero,Ability,X-Ray Vision,See through objects,"{""perception"":""xray""}"
Superhero,Character,Alien Paragon,Superman archetype,"{""power_level"":5,""connection"":""hero""}"
Superhero,Character,Amazonian Warrior,Ancient fighter,"{""power_level"":4,""connection"":""hero""}"
Superhero,Character,Cosmic Entity,Immense power,"{""power_level"":5,""connection"":""cosmic""}"
Superhero,Character,Government Agent,Official operative,"{""power_level"":2,""connection"":""gov""}"
Superhero,Character,Magic User,Sorcerer,"{""power_level"":4,""connection"":""magic""}"
Superhero,Character,Mutated Outcast,Feared monster hero,"{""power_level"":3,""connection"":""mutant""}"
Superhero,Character,Mystical Guardian,Chosen protector,"{""power_level"":4,""connection"":""magic""}"
Superhero,Character,Reformed Villain,Seeking redemption,"{""power_level"":3,""connection"":""villain""}"
Superhero,Character,Shapeshifter,Fluid form,"{""power_level"":3,""connection"":""mystery""}"
Superhero,Character,Speedster,Fast mover,"{""power_level"":3,""connection"":""hero""}"
Superhero,Character,Street-Level Hero,Neighborhood defender,"{""power_level"":2,""connection"":""vigilante""}"
Superhero,Character,Tech Billionaire,Armored inventor,"{""power_level"":3,""connection"":""tech""}"
Superhero,Character,Teen Hero,Learning powers,"{""power_level"":1,""connection"":""rookie""}"
Superhero,Character,The Sidekick,Learning from mentor,"{""power_level"":1,""connection"":""rookie""}"
Superhero,Character,The Vigilante,Street justice,"{""power_level"":2,""connection"":""vigilante""}"
Superhero,Character,Time Traveler,Prevent catastrophe,"{""power_level"":4,""connection"":""future""}"
Superhero,Drawback,Arch-Nemesis,Personal enemy,"{""nemesis"":true}"
Superhero,Drawback,Arrogant,Overconfident,"{""hubris"":true}"
Superhero,Drawback,Celestial Dependence,Powers tied to stars,"{""dependency"":""celestial""}"
Superhero,Drawback,Civilian Casualties,Guilt over damage,"{""morale"":-1}"
Superhero,Drawback,Collateral Damage,Destroy property,"{""reputation"":-1}"
Superhero,Drawback,Duality Curse,Warring personalities,"{""sanity_loss"":true}"
Superhero,Drawback,Hunted by Government,Seen as threat,"{""hunted"":true}"
Superhero,Drawback,No Kill Rule,Refusal to take life,"{""restriction"":""violence""}"
Superhero,Drawback,Power Overload,Surge beyond control,"{""glitch"":true}"
Superhero,Drawback,Prophesied Doom,Destined for catastrophe,"{""destiny"":""doom""}"
Superhero,Drawback,Public Menace,Seen as threat,"{""reputation"":-1}"
Superhero,Drawback,Reckless,Impulsive action,"{""risk"":true}"
Superhero,Drawback,Secret Identity,Civilian life,"{""secret"":true}"
Superhero,Drawback,Specific Weakness,Substance negates powers,"{""weakness"":""specific""}"
Superhero,Drawback,Tormented,Haunted by failures,"{""morale"":-1}"
Superhero,Drawback,Vulnerability (Magic),No defense against mystic,"{""weakness"":""magic""}"
Superhero,Item,Anti-Gravity Boots,Flight capability,"{""movement"":""flight""}"
Superhero,Item,Bat-Signal,Call for help,"{""utility"":""signal""}"
Superhero,Item,Cosmic Cube,Reality warping,"{""utility"":""godlike""}"
Superhero,Item,Dimensional Portal Device,Travel between realities,"{""movement"":""dimension""}"
Superhero,Item,Enchanted Hammer,Lightning weapon,"{""damage"":3,""magical"":true}"
Superhero,Item,Energy Gauntlets,Channel blasts,"{""damage"":2,""range"":""medium""}"
Superhero,Item,High-Tech Suit,Advanced armor,"{""armor"":3}"
Superhero,Item,Indestructible Shield,Defensive disc,"{""armor"":3,""damage"":1}"
Superhero,Item,Magic Lasso,Compels truth,"{""utility"":""interrogation""}"
Superhero,Item,Mystic Amulet,Power source,"{""utility"":""magic""}"
Superhero,Item,Power Dampening Cuffs,Suppress abilities,"{""utility"":""restrain""}"
Superhero,Item,Power Ring,Light constructs,"{""utility"":""construct""}"
Superhero,Item,Regeneration Serum,Heals wounds,"{""heal"":3}"
Superhero,Item,The Cape,Iconic symbol,"{""utility"":""social""}"
Superhero,Item,Utility Belt,Gadgets,"{""utility"":""versatile""}"
Superhero,Item,Web-Shooters,Adhesive polymer,"{""utility"":""trap""}"
Superhero,Skill,Acrobatics,Gymnastic ability,"{""skill"":""athletics""}"
Superhero,Skill,Deduction,Solve mysteries,"{""skill"":""investigation""}"
Superhero,Skill,Diplomacy,Negotiate,"{""skill"":""social""}"
Superhero,Skill,Forensics,Analyze evidence,"{""skill"":""science""}"
Superhero,Skill,Gadgetry,Invent devices,"{""skill"":""tech""}"
Superhero,Skill,Investigation,Detective work,"{""skill"":""investigation""}"
Superhero,Skill,Leadership,Coordinate team,"{""skill"":""social""}"
Superhero,Skill,Martial Arts,Hand-to-hand,"{""skill"":""combat""}"
Superhero,Skill,Piloting,Operate vehicles,"{""skill"":""pilot""}"
Superhero,Skill,Psychology,Understand minds,"{""skill"":""science""}"
Superhero,Skill,Public Relations,Manage image,"{""skill"":""social""}"
Superhero,Skill,Public Speaking,Inspire hope,"{""skill"":""social""}"
Superhero,Skill,Science,Physics and chemistry,"{""skill"":""science""}"
Superhero,Skill,Stealth,Move unseen,"{""skill"":""stealth""}"
Superhero,Skill,Strategy,Long-term planning,"{""skill"":""tactics""}"
Superhero,Skill,Tactics,Real-time coordination,"{""skill"":""tactics""}"
Superhero,Trait,Altruistic,Care for all,"{""trait"":true}"
Superhero,Trait,Compassionate,Deep empathy,"{""trait"":true}"
Superhero,Trait,Conflicted,Moral struggle,"{""trait"":true}"
Superhero,Trait,Determined,Never give up,"{""trait"":true}"
Superhero,Trait,Endurance,Limitless stamina,"{""trait"":true}"
Superhero,Trait,Fearless,Face danger,"{""trait"":true}"
Superhero,Trait,Incorruptible,Absolute morality,"{""trait"":true}"
Superhero,Trait,Leader,Natural command,"{""trait"":true}"
Superhero,Trait,Noble,Dignity,"{""trait"":true}"
Superhero,Trait,Pragmatic,Practicality,"{""trait"":true}"
Superhero,Trait,Reflexes,Speed,"{""trait"":true}"
Superhero,Trait,Selfless,Sacrifice,"{""trait"":true}"
Superhero,Trait,Strength,Peak power,"{""trait"":true}"
